chapter,pos_tag,count,percentage
36,PRON,5,1.42
36,SCONJ,3,0.85
36,VERB,76,21.65
37,ADJ,5,0.97
37,ADP,10,1.94
37,ADV,6,1.17
37,AUX,3,0.58
37,CCONJ,5,0.97
37,DET,4,0.78
37,NOUN,353,68.54
37,NUM,1,0.19
37,PART,2,0.39
37,PRON,15,2.91
37,SCONJ,9,1.75
37,VERB,102,19.81
38,ADJ,5,1.16
38,ADP,2,0.46
38,ADV,10,2.31
38,AUX,10,2.31
38,CCONJ,1,0.23
38,DET,5,1.16
38,NOUN,294,68.06
38,NUM,2,0.46
38,PROPN,1,0.23
38,SCONJ,2,0.46
38,VERB,100,23.15
39,ADJ,6,2.05
39,ADP,4,1.37
39,ADV,5,1.71
39,AUX,2,0.68
39,DET,2,0.68
39,NOUN,205,69.97
39,NUM,2,0.68
39,PRON,8,2.73
39,PROPN,2,0.68
39,SCONJ,2,0.68
39,VERB,55,18.77
40,ADJ,1,0.19
40,ADP,4,0.78
40,ADV,6,1.17
40,AUX,4,0.78
40,DET,9,1.75
40,NOUN,346,67.45
40,PRON,9,1.75
40,SCONJ,13,2.53
40,VERB,121,23.59
41,ADJ,13,1.73
41,ADP,3,0.4
41,ADV,12,1.59
41,AUX,4,0.53
41,DET,5,0.66
41,NOUN,514,68.26
41,NUM,1,0.13
41,PRON,15,1.99
41,PROPN,20,2.66
41,SCONJ,9,1.2
41,VERB,157,20.85
42,ADJ,4,0.48
42,ADP,7,0.84
42,ADV,14,1.68
42,AUX,6,0.72
42,CCONJ,2,0.24
42,DET,4,0.48
42,NOUN,607,73.04
42,PRON,27,3.25
42,PROPN,2,0.24
42,SCONJ,8,0.96
42,VERB,150,18.05
43,ADJ,7,1.18
43,ADP,1,0.17
43,ADV,10,1.69
43,AUX,3,0.51
43,CCONJ,1,0.17
43,DET,5,0.85
43,NOUN,437,73.94
43,NUM,3,0.51
43,PART,2,0.34
43,PRON,3,0.51
43,SCONJ,2,0.34
43,VERB,117,19.8
44,ADJ,3,0.55
44,ADP,8,1.47
44,ADV,9,1.65
44,AUX,4,0.74
44,CCONJ,2,0.37
44,DET,12,2.21
44,NOUN,348,63.97
44,NUM,4,0.74
44,PRON,7,1.29
44,PROPN,6,1.1
44,SCONJ,12,2.21
44,VERB,129,23.71
45,ADJ,5,0.86
45,ADP,7,1.2
45,ADV,4,0.69
45,AUX,10,1.72
45,DET,24,4.13
45,NOUN,395,67.99
45,NUM,3,0.52
45,PART,2,0.34
45,PRON,2,0.34
45,PROPN,3,0.52
45,SCONJ,6,1.03
45,VERB,120,20.65
46,ADJ,3,0.61
46,ADP,6,1.21
46,ADV,7,1.41
46,AUX,2,0.4
46,CCONJ,2,0.4
46,DET,1,0.2
46,NOUN,378,76.36
46,NUM,2,0.4
46,PRON,3,0.61
46,PROPN,2,0.4
46,SCONJ,2,0.4
46,VERB,87,17.58
47,ADJ,4,1.36
47,DET,2,0.68
47,NOUN,238,80.95
47,PRON,4,1.36
47,VERB,46,15.65
48,ADJ,15,2.12
48,ADP,2,0.28
48,ADV,16,2.27
48,DET,2,0.28
48,NOUN,482,68.27
48,PART,1,0.14
48,PRON,6,0.85
48,PROPN,4,0.57
48,SCONJ,11,1.56
48,VERB,167,23.65
49,ADJ,7,0.96
49,ADP,4,0.55
49,ADV,15,2.06
49,AUX,12,1.65
49,CCONJ,4,0.55
49,DET,6,0.82
49,NOUN,475,65.25
49,NUM,6,0.82
49,PART,3,0.41
49,PRON,14,1.92
49,PROPN,3,0.41
49,SCONJ,20,2.75
49,VERB,159,21.84
50,ADJ,4,1.23
50,ADP,2,0.62
50,ADV,5,1.54
50,AUX,1,0.31
50,DET,4,1.23
50,NOUN,243,74.77
50,PRON,6,1.85
50,PROPN,3,0.92
50,SCONJ,1,0.31
50,VERB,56,17.23
51,ADJ,9,1.86
51,ADP,3,0.62
51,ADV,10,2.07
51,AUX,4,0.83
51,DET,4,0.83
51,NOUN,339,70.19
51,NUM,1,0.21
51,PRON,3,0.62
51,PROPN,1,0.21
51,SCONJ,3,0.62
51,VERB,106,21.95
52,ADJ,4,1.33
52,ADV,6,1.99
52,AUX,2,0.66
52,CCONJ,1,0.33
52,DET,12,3.99
52,NOUN,188,62.46
52,PRON,3,1.0
52,PROPN,9,2.99
52,SCONJ,3,1.0
52,VERB,73,24.25
53,ADJ,6,1.21
53,ADP,1,0.2
53,ADV,15,3.02
53,AUX,2,0.4
53,CCONJ,2,0.4
53,DET,9,1.81
53,NOUN,314,63.31
53,NUM,5,1.01
53,PRON,3,0.6
53,PROPN,2,0.4
53,SCONJ,4,0.81
53,VERB,133,26.81
54,ADJ,8,1.38
54,ADP,8,1.38
54,ADV,7,1.21
54,AUX,7,1.21
54,CCONJ,2,0.34
54,DET,2,0.34
54,NOUN,386,66.55
54,PART,1,0.17
54,PRON,18,3.1
54,PROPN,2,0.34
54,SCONJ,8,1.38
54,VERB,131,22.59
55,ADJ,10,3.66
55,ADP,1,0.37
55,ADV,8,2.93
55,AUX,3,1.1
55,CCONJ,1,0.37
55,DET,13,4.76
55,NOUN,157,57.51
55,NUM,3,1.1
55,PRON,12,4.4
55,SCONJ,3,1.1
55,VERB,62,22.71
56,ADJ,5,1.32
56,ADP,1,0.26
56,ADV,6,1.58
56,AUX,7,1.85
56,CCONJ,2,0.53
56,DET,3,0.79
56,NOUN,231,60.95
56,NUM,3,0.79
56,PART,1,0.26
56,PRON,17,4.49
56,PROPN,2,0.53
56,SCONJ,6,1.58
56,VERB,95,25.07
57,ADJ,7,1.82
57,ADV,3,0.78
57,AUX,2,0.52
57,DET,4,1.04
57,NOUN,269,70.05
57,NUM,2,0.52
57,PART,1,0.26
57,PRON,9,2.34
57,PROPN,2,0.52
57,VERB,85,22.14
58,ADJ,1,0.46
58,ADP,3,1.39
58,ADV,9,4.17
58,AUX,1,0.46
58,CCONJ,1,0.46
58,DET,3,1.39
58,NOUN,138,63.89
58,NUM,5,2.31
58,PART,1,0.46
58,PRON,6,2.78
58,PROPN,1,0.46
58,SCONJ,3,1.39
58,VERB,44,20.37
59,ADJ,3,1.32
59,ADV,4,1.75
59,NOUN,167,73.25
59,NUM,1,0.44
59,PART,1,0.44
59,PRON,5,2.19
59,SCONJ,1,0.44
59,VERB,46,20.18
60,ADJ,5,0.99
60,ADP,2,0.4
60,ADV,12,2.39
60,AUX,6,1.19
60,NOUN,354,70.38
60,PART,2,0.4
60,PRON,2,0.4
60,PROPN,2,0.4
60,VERB,118,23.46
61,ADJ,5,1.5
61,ADV,2,0.6
61,AUX,1,0.3
61,DET,3,0.9
61,NOUN,250,74.85
61,PART,1,0.3
61,PROPN,6,1.8
61,SCONJ,9,2.69
61,VERB,57,17.07
62,ADJ,4,0.81
62,ADP,1,0.2
62,ADV,9,1.83
62,AUX,2,0.41
62,DET,2,0.41
62,NOUN,354,71.95
62,NUM,2,0.41
62,PRON,6,1.22
62,PROPN,4,0.81
62,SCONJ,8,1.63
62,VERB,100,20.33
63,ADJ,3,0.61
63,ADP,4,0.81
63,ADV,7,1.43
63,AUX,3,0.61
63,CCONJ,2,0.41
63,DET,4,0.81
63,NOUN,329,67.01
63,NUM,4,0.81
63,PART,2,0.41
63,PRON,5,1.02
63,PROPN,4,0.81
63,SCONJ,6,1.22
63,VERB,118,24.03
64,ADP,1,0.4
64,ADV,6,2.4
64,AUX,3,1.2
64,CCONJ,1,0.4
64,DET,1,0.4
64,NOUN,197,78.8
64,PRON,4,1.6
64,VERB,37,14.8
65,ADJ,8,1.64
65,ADP,2,0.41
65,ADV,4,0.82
65,AUX,4,0.82
65,CCONJ,1,0.21
65,DET,7,1.44
65,NOUN,298,61.19
65,NUM,3,0.62
65,PRON,12,2.46
65,PROPN,10,2.05
65,SCONJ,11,2.26
65,VERB,127,26.08
66,ADJ,3,1.31
66,ADP,2,0.87
66,ADV,5,2.18
66,CCONJ,1,0.44
66,NOUN,175,76.42
66,PRON,4,1.75
66,PROPN,3,1.31
66,VERB,36,15.72
67,ADJ,10,2.82
67,ADV,2,0.56
67,AUX,4,1.13
67,CCONJ,1,0.28
67,NOUN,245,69.21
67,NUM,3,0.85
67,PART,2,0.56
